"method"	"path"	"declaring_service"	"source_file"	"annotation_line"	"signature_end_line"	"classification"	"confidence"
"PUT"	"v1/rewarded-ads/rewards/restriction"	"com.grindrapp.android.ads.feature.rewarded.data.api.RewardedAdService"	"sources/com/grindrapp/android/ads/feature/rewarded/data/api/RewardedAdService.java"	"21"	"22"	"first-party/Grindr"	"high"
"PUT"	"v1/rewarded-ads/consumption"	"com.grindrapp.android.ads.feature.rewarded.data.api.RewardedAdService"	"sources/com/grindrapp/android/ads/feature/rewarded/data/api/RewardedAdService.java"	"24"	"25"	"first-party/Grindr"	"high"
"GET"	"/v1/signalshare"	"com.grindrapp.android.ads.feature.signalshare.data.service.SignalInfoService"	"sources/com/grindrapp/android/ads/feature/signalshare/data/service/SignalInfoService.java"	"11"	"12"	"first-party/Grindr"	"high"
"POST"	"v5/legal-agreements/subscriber-sponsored-content"	"com.grindrapp.android.ads.feature.sponsoredcontent.data.api.SponsoredContentApiService"	"sources/com/grindrapp/android/ads/feature/sponsoredcontent/data/api/SponsoredContentApiService.java"	"18"	"19"	"first-party/Grindr"	"high"
"DELETE"	"v5/legal-agreements/subscriber-sponsored-content"	"com.grindrapp.android.ads.feature.sponsoredcontent.data.api.SponsoredContentApiService"	"sources/com/grindrapp/android/ads/feature/sponsoredcontent/data/api/SponsoredContentApiService.java"	"21"	"22"	"first-party/Grindr"	"high"
"GET"	"v5/legal-agreements/subscriber-sponsored-content"	"com.grindrapp.android.ads.feature.sponsoredcontent.data.api.SponsoredContentApiService"	"sources/com/grindrapp/android/ads/feature/sponsoredcontent/data/api/SponsoredContentApiService.java"	"24"	"25"	"first-party/Grindr"	"high"
"GET"	"v1/age-verification/options"	"com.grindrapp.android.ageverification.data.remote.api.AgeVerificationApiService"	"sources/com/grindrapp/android/ageverification/data/remote/api/AgeVerificationApiService.java"	"21"	"22"	"first-party/Grindr"	"high"
"POST"	"v1/age-verification/session"	"com.grindrapp.android.ageverification.data.remote.api.AgeVerificationApiService"	"sources/com/grindrapp/android/ageverification/data/remote/api/AgeVerificationApiService.java"	"24"	"25"	"first-party/Grindr"	"high"
"POST"	"v1/age-verification/verify/enrollment"	"com.grindrapp.android.ageverification.data.remote.api.AgeVerificationApiService"	"sources/com/grindrapp/android/ageverification/data/remote/api/AgeVerificationApiService.java"	"27"	"28"	"first-party/Grindr"	"high"
"POST"	"v1/age-verification/verify/liveness3d"	"com.grindrapp.android.ageverification.data.remote.api.AgeVerificationApiService"	"sources/com/grindrapp/android/ageverification/data/remote/api/AgeVerificationApiService.java"	"30"	"31"	"first-party/Grindr"	"high"
"POST"	"v1/age-verification/verify/document"	"com.grindrapp.android.ageverification.data.remote.api.AgeVerificationApiService"	"sources/com/grindrapp/android/ageverification/data/remote/api/AgeVerificationApiService.java"	"33"	"34"	"first-party/Grindr"	"high"
"POST"	"v2/age-verification/verify"	"com.grindrapp.android.ageverification.data.remote.api.AgeVerificationApiService"	"sources/com/grindrapp/android/ageverification/data/remote/api/AgeVerificationApiService.java"	"36"	"37"	"first-party/Grindr"	"high"
"POST"	"v3/pressie-albums/feed"	"com.grindrapp.android.albums.data.api.AlbumsService"	"sources/com/grindrapp/android/albums/data/api/AlbumsService.java"	"23"	"24"	"first-party/Grindr"	"high"
"GET"	"v3/pressie-albums/feed/{profileId}"	"com.grindrapp.android.albums.data.api.AlbumsService"	"sources/com/grindrapp/android/albums/data/api/AlbumsService.java"	"26"	"27"	"first-party/Grindr"	"high"
"POST"	"v3/pressie-albums/feed/paywall/"	"com.grindrapp.android.albums.data.api.AlbumsService"	"sources/com/grindrapp/android/albums/data/api/AlbumsService.java"	"29"	"30"	"first-party/Grindr"	"high"
"POST"	"v3/pressie-albums/fresh-feed"	"com.grindrapp.android.albums.data.api.AlbumsService"	"sources/com/grindrapp/android/albums/data/api/AlbumsService.java"	"32"	"33"	"first-party/Grindr"	"high"
"GET"	"v1/albums"	"com.grindrapp.android.albums.data.api.AlbumsService"	"sources/com/grindrapp/android/albums/data/api/AlbumsService.java"	"35"	"36"	"first-party/Grindr"	"high"
"POST"	"v3/pressie-albums/feed/update/read"	"com.grindrapp.android.albums.data.api.AlbumsService"	"sources/com/grindrapp/android/albums/data/api/AlbumsService.java"	"38"	"39"	"first-party/Grindr"	"high"
"PUT"	"v1/warnings"	"com.grindrapp.android.api.BannedWarningService"	"sources/com/grindrapp/android/api/BannedWarningService.java"	"15"	"16"	"first-party/Grindr"	"high"
"GET"	"v2/warnings"	"com.grindrapp.android.api.BannedWarningService"	"sources/com/grindrapp/android/api/BannedWarningService.java"	"18"	"19"	"first-party/Grindr"	"high"
"POST"	"/v3/logging/mobile/logs"	"com.grindrapp.android.api.ClientLogRestService"	"sources/com/grindrapp/android/api/ClientLogRestService.java"	"17"	"18"	"first-party/Grindr"	"high"
"POST"	"/v3/logging/mobile/logs"	"com.grindrapp.android.api.ClientLogRestService"	"sources/com/grindrapp/android/api/ClientLogRestService.java"	"21"	"22"	"first-party/Grindr"	"high"
"GET"	"/{version}/rewarded-chats"	"com.grindrapp.android.api.ExploreFreeChatsRemainingService"	"sources/com/grindrapp/android/api/ExploreFreeChatsRemainingService.java"	"16"	"17"	"first-party/Grindr"	"high"
"POST"	"/{version}/rewarded-chats"	"com.grindrapp.android.api.ExploreFreeChatsRemainingService"	"sources/com/grindrapp/android/api/ExploreFreeChatsRemainingService.java"	"19"	"20"	"first-party/Grindr"	"high"
"GET"	"/v4/links/{key}"	"com.grindrapp.android.api.LinkRestService"	"sources/com/grindrapp/android/api/LinkRestService.java"	"15"	"16"	"first-party/Grindr"	"high"
"POST"	"v3/users/update-password"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"37"	"38"	"first-party/Grindr"	"high"
"POST"	"<dynamic @Url or empty>"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"41"	"42"	"first-party/Grindr"	"medium"
"POST"	"v8/users/thirdparty"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"45"	"46"	"first-party/Grindr"	"high"
"POST"	"v7/users/thirdparty"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"49"	"50"	"first-party/Grindr"	"high"
"POST"	"v8/dev/users/thirdparty"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"53"	"54"	"first-party/Grindr"	"high"
"POST"	"v3/users/forgot-password"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"57"	"58"	"first-party/Grindr"	"high"
"POST"	"v3/users/thirdparty/exchange"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"61"	"62"	"first-party/Grindr"	"high"
"POST"	"<dynamic @Url or empty>"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"65"	"66"	"first-party/Grindr"	"medium"
"POST"	"v4/sms/sessions"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"69"	"70"	"first-party/Grindr"	"high"
"POST"	"v4/sms/users/update-password"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"73"	"74"	"first-party/Grindr"	"high"
"POST"	"v3/gcm-push-tokens"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"77"	"78"	"first-party/Grindr"	"high"
"POST"	"<dynamic @Url or empty>"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"81"	"82"	"first-party/Grindr"	"medium"
"POST"	"v3/users/email"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"85"	"86"	"first-party/Grindr"	"high"
"POST"	"v3/users/password-validation"	"com.grindrapp.android.api.LoginRestService"	"sources/com/grindrapp/android/api/LoginRestService.java"	"89"	"90"	"first-party/Grindr"	"high"
"GET"	"v3/me/prefs"	"com.grindrapp.android.api.PhrasesRestService"	"sources/com/grindrapp/android/api/PhrasesRestService.java"	"13"	"14"	"first-party/Grindr"	"high"
"PUT"	"/v1/favorites/notes/{targetProfileId}"	"com.grindrapp.android.api.ProfileNotesRestService"	"sources/com/grindrapp/android/api/ProfileNotesRestService.java"	"21"	"22"	"first-party/Grindr"	"high"
"PUT"	"/v1/favorites/notes"	"com.grindrapp.android.api.ProfileNotesRestService"	"sources/com/grindrapp/android/api/ProfileNotesRestService.java"	"24"	"25"	"first-party/Grindr"	"high"
"DELETE"	"/v1/favorites/notes/{targetProfileId}"	"com.grindrapp.android.api.ProfileNotesRestService"	"sources/com/grindrapp/android/api/ProfileNotesRestService.java"	"27"	"28"	"first-party/Grindr"	"high"
"GET"	"/v1/favorites/notes/{targetProfileId}"	"com.grindrapp.android.api.ProfileNotesRestService"	"sources/com/grindrapp/android/api/ProfileNotesRestService.java"	"30"	"31"	"first-party/Grindr"	"high"
"GET"	"/v1/favorites/notes"	"com.grindrapp.android.api.ProfileNotesRestService"	"sources/com/grindrapp/android/api/ProfileNotesRestService.java"	"33"	"34"	"first-party/Grindr"	"high"
"POST"	"/v4/profiles/reachable"	"com.grindrapp.android.api.ProfileRestService"	"sources/com/grindrapp/android/api/ProfileRestService.java"	"33"	"34"	"first-party/Grindr"	"high"
"DELETE"	"/v3/me/profile/images"	"com.grindrapp.android.api.ProfileRestService"	"sources/com/grindrapp/android/api/ProfileRestService.java"	"36"	"37"	"first-party/Grindr"	"high"
"DELETE"	"v3/me/profile"	"com.grindrapp.android.api.ProfileRestService"	"sources/com/grindrapp/android/api/ProfileRestService.java"	"39"	"40"	"first-party/Grindr"	"high"
"POST"	"v3/me/favorites/{id}"	"com.grindrapp.android.api.ProfileRestService"	"sources/com/grindrapp/android/api/ProfileRestService.java"	"42"	"43"	"first-party/Grindr"	"high"
"GET"	"v4/me/muted-profiles"	"com.grindrapp.android.api.ProfileRestService"	"sources/com/grindrapp/android/api/ProfileRestService.java"	"45"	"46"	"first-party/Grindr"	"high"
"GET"	"/v3/places/search"	"com.grindrapp.android.api.ProfileRestService"	"sources/com/grindrapp/android/api/ProfileRestService.java"	"48"	"49"	"first-party/Grindr"	"high"
"GET"	"v7/profiles/{id}"	"com.grindrapp.android.api.ProfileRestService"	"sources/com/grindrapp/android/api/ProfileRestService.java"	"51"	"52"	"first-party/Grindr"	"high"
"POST"	"v3/profiles"	"com.grindrapp.android.api.ProfileRestService"	"sources/com/grindrapp/android/api/ProfileRestService.java"	"54"	"55"	"first-party/Grindr"	"high"
"POST"	"v5/views/{profileId}"	"com.grindrapp.android.api.ProfileRestService"	"sources/com/grindrapp/android/api/ProfileRestService.java"	"57"	"58"	"first-party/Grindr"	"high"
"DELETE"	"v3/me/favorites/{id}"	"com.grindrapp.android.api.ProfileRestService"	"sources/com/grindrapp/android/api/ProfileRestService.java"	"60"	"61"	"first-party/Grindr"	"high"
"PUT"	"v3.1/me/profile"	"com.grindrapp.android.api.ProfileRestService"	"sources/com/grindrapp/android/api/ProfileRestService.java"	"63"	"64"	"first-party/Grindr"	"high"
"PUT"	"v3.1/me/profile"	"com.grindrapp.android.api.ProfileRestService"	"sources/com/grindrapp/android/api/ProfileRestService.java"	"66"	"67"	"first-party/Grindr"	"high"
"PATCH"	"/v4/me/profile"	"com.grindrapp.android.api.ProfileRestService"	"sources/com/grindrapp/android/api/ProfileRestService.java"	"69"	"70"	"first-party/Grindr"	"high"
"POST"	"<dynamic @Url or empty>"	"com.grindrapp.android.api.RefreshSessionRestService"	"sources/com/grindrapp/android/api/RefreshSessionRestService.java"	"19"	"20"	"first-party/Grindr"	"medium"
"POST"	"/v4/sms/sessions"	"com.grindrapp.android.api.RefreshSessionRestService"	"sources/com/grindrapp/android/api/RefreshSessionRestService.java"	"22"	"23"	"first-party/Grindr"	"high"
"POST"	"<dynamic @Url or empty>"	"com.grindrapp.android.api.RefreshSessionRestService"	"sources/com/grindrapp/android/api/RefreshSessionRestService.java"	"25"	"26"	"first-party/Grindr"	"medium"
"GET"	"/v2/access-requests"	"com.grindrapp.android.api.RequestDataService"	"sources/com/grindrapp/android/api/RequestDataService.java"	"18"	"19"	"first-party/Grindr"	"high"
"POST"	"/v2/access-requests/confirm"	"com.grindrapp.android.api.RequestDataService"	"sources/com/grindrapp/android/api/RequestDataService.java"	"21"	"22"	"first-party/Grindr"	"high"
"POST"	"/v2/access-requests"	"com.grindrapp.android.api.RequestDataService"	"sources/com/grindrapp/android/api/RequestDataService.java"	"24"	"25"	"first-party/Grindr"	"high"
"POST"	"/v2/access-requests/codes"	"com.grindrapp.android.api.RequestDataService"	"sources/com/grindrapp/android/api/RequestDataService.java"	"27"	"28"	"first-party/Grindr"	"high"
"GET"	"v7/search"	"com.grindrapp.android.api.SearchApiRestService"	"sources/com/grindrapp/android/api/SearchApiRestService.java"	"15"	"16"	"first-party/Grindr"	"high"
"GET"	"v1/visiting/home"	"com.grindrapp.android.api.SettingsRestService"	"sources/com/grindrapp/android/api/SettingsRestService.java"	"21"	"22"	"first-party/Grindr"	"high"
"GET"	"v3/me/prefs/settings"	"com.grindrapp.android.api.SettingsRestService"	"sources/com/grindrapp/android/api/SettingsRestService.java"	"24"	"25"	"first-party/Grindr"	"high"
"PUT"	"v1/visiting/home"	"com.grindrapp.android.api.SettingsRestService"	"sources/com/grindrapp/android/api/SettingsRestService.java"	"27"	"28"	"first-party/Grindr"	"high"
"PUT"	"v3/me/prefs/settings"	"com.grindrapp.android.api.SettingsRestService"	"sources/com/grindrapp/android/api/SettingsRestService.java"	"30"	"31"	"first-party/Grindr"	"high"
"PUT"	"v1/visiting/settings"	"com.grindrapp.android.api.SettingsRestService"	"sources/com/grindrapp/android/api/SettingsRestService.java"	"33"	"34"	"first-party/Grindr"	"high"
"GET"	"v1/visiting/settings"	"com.grindrapp.android.api.SettingsRestService"	"sources/com/grindrapp/android/api/SettingsRestService.java"	"36"	"37"	"first-party/Grindr"	"high"
"POST"	"v4/sms/sendcode"	"com.grindrapp.android.api.SmsVerificationService"	"sources/com/grindrapp/android/api/SmsVerificationService.java"	"19"	"20"	"first-party/Grindr"	"high"
"POST"	"v4/sms/users/update-password/sendcode"	"com.grindrapp.android.api.SmsVerificationService"	"sources/com/grindrapp/android/api/SmsVerificationService.java"	"23"	"24"	"first-party/Grindr"	"high"
"POST"	"/v4/sms/verification/{profileId}/sendcode"	"com.grindrapp.android.api.SmsVerificationService"	"sources/com/grindrapp/android/api/SmsVerificationService.java"	"27"	"28"	"first-party/Grindr"	"high"
"POST"	"v4/sms/verifycode"	"com.grindrapp.android.api.SmsVerificationService"	"sources/com/grindrapp/android/api/SmsVerificationService.java"	"31"	"32"	"first-party/Grindr"	"high"
"POST"	"v4/sms/verification/{profileId}/verifycode"	"com.grindrapp.android.api.SmsVerificationService"	"sources/com/grindrapp/android/api/SmsVerificationService.java"	"35"	"36"	"first-party/Grindr"	"high"
"GET"	"/v3.1/me/profile/images"	"com.grindrapp.android.api.UploadFileRestService"	"sources/com/grindrapp/android/api/UploadFileRestService.java"	"23"	"24"	"first-party/Grindr"	"high"
"PUT"	"/v3/me/profile/images"	"com.grindrapp.android.api.UploadFileRestService"	"sources/com/grindrapp/android/api/UploadFileRestService.java"	"26"	"27"	"first-party/Grindr"	"high"
"POST"	"/v3/me/profile/images"	"com.grindrapp.android.api.UploadFileRestService"	"sources/com/grindrapp/android/api/UploadFileRestService.java"	"29"	"30"	"first-party/Grindr"	"high"
"POST"	"/v4/media/upload"	"com.grindrapp.android.api.UploadFileRestService"	"sources/com/grindrapp/android/api/UploadFileRestService.java"	"32"	"33"	"first-party/Grindr"	"high"
"POST"	"/v5/media/upload"	"com.grindrapp.android.api.UploadFileRestService"	"sources/com/grindrapp/android/api/UploadFileRestService.java"	"35"	"36"	"first-party/Grindr"	"high"
"POST"	"v1/albums/{albumId}/content/chat/list-by-id"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"45"	"46"	"first-party/Grindr"	"high"
"GET"	"v3/albums/{albumId}/view"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"48"	"49"	"first-party/Grindr"	"high"
"GET"	"v1/albums/{albumId}/content/{contentId}/processing"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"51"	"52"	"first-party/Grindr"	"high"
"POST"	"v2/albums"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"54"	"55"	"first-party/Grindr"	"high"
"DELETE"	"v1/albums/{albumId}/content/{contentId}"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"57"	"58"	"first-party/Grindr"	"high"
"DELETE"	"v1/albums/{albumId}"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"60"	"61"	"first-party/Grindr"	"high"
"GET"	"v2/albums/{albumId}"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"63"	"64"	"first-party/Grindr"	"high"
"POST"	"/v2/albums/shares"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"66"	"67"	"first-party/Grindr"	"high"
"GET"	"v2/albums/shares"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"69"	"70"	"first-party/Grindr"	"high"
"POST"	"v3/pressie-albums/feed"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"72"	"73"	"first-party/Grindr"	"high"
"GET"	"v2/albums/shares/{profileId}"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"75"	"76"	"first-party/Grindr"	"high"
"GET"	"v1/albums"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"78"	"79"	"first-party/Grindr"	"high"
"GET"	"v1/albums/storage"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"81"	"82"	"first-party/Grindr"	"high"
"GET"	"v1/albums/{albumId}/content/{contentId}/poster"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"84"	"85"	"first-party/Grindr"	"high"
"GET"	"v1/albums/{albumId}/shares"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"87"	"88"	"first-party/Grindr"	"high"
"GET"	"v3/pressie-albums/feed/{profileId}"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"90"	"91"	"first-party/Grindr"	"high"
"POST"	"v3/pressie-albums/feed/paywall/"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"93"	"94"	"first-party/Grindr"	"high"
"GET"	"v1/albums/red-dot"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"96"	"97"	"first-party/Grindr"	"high"
"PUT"	"v1/albums/red-dot"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"99"	"100"	"first-party/Grindr"	"high"
"POST"	"v1/albums/{albumId}/view/content/{contentId}"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"102"	"103"	"first-party/Grindr"	"high"
"PUT"	"v1/albums/{albumId}/shares/remove"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"105"	"106"	"first-party/Grindr"	"high"
"POST"	"v4/albums/{albumId}/shares"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"108"	"109"	"first-party/Grindr"	"high"
"PUT"	"v1/albums/{albumId}/unshares"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"111"	"112"	"first-party/Grindr"	"high"
"PUT"	"v2/albums/{albumId}"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"114"	"115"	"first-party/Grindr"	"high"
"POST"	"v1/albums/{albumId}/content/order"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"117"	"118"	"first-party/Grindr"	"high"
"POST"	"v1/albums/{albumId}/content"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"120"	"122"	"first-party/Grindr"	"high"
"POST"	"v3/pressie-albums/feed/update/read"	"com.grindrapp.android.api.albums.AlbumsRestService"	"sources/com/grindrapp/android/api/albums/AlbumsRestService.java"	"124"	"125"	"first-party/Grindr"	"high"
"GET"	"v1/consumables/inventory"	"com.grindrapp.android.boost2.data.datasource.api.BoostService"	"sources/com/grindrapp/android/boost2/data/datasource/api/BoostService.java"	"22"	"23"	"first-party/Grindr"	"high"
"GET"	"/v2/boost/sessions"	"com.grindrapp.android.boost2.data.datasource.api.BoostService"	"sources/com/grindrapp/android/boost2/data/datasource/api/BoostService.java"	"25"	"26"	"first-party/Grindr"	"high"
"POST"	"/v1/boost/sessions/pause"	"com.grindrapp.android.boost2.data.datasource.api.BoostService"	"sources/com/grindrapp/android/boost2/data/datasource/api/BoostService.java"	"28"	"29"	"first-party/Grindr"	"high"
"POST"	"/v1/boost/preferences/standard"	"com.grindrapp.android.boost2.data.datasource.api.BoostService"	"sources/com/grindrapp/android/boost2/data/datasource/api/BoostService.java"	"31"	"32"	"first-party/Grindr"	"high"
"POST"	"/v1/boost/preferences/mega"	"com.grindrapp.android.boost2.data.datasource.api.BoostService"	"sources/com/grindrapp/android/boost2/data/datasource/api/BoostService.java"	"34"	"35"	"first-party/Grindr"	"high"
"POST"	"/v1/boost/preferences/super"	"com.grindrapp.android.boost2.data.datasource.api.BoostService"	"sources/com/grindrapp/android/boost2/data/datasource/api/BoostService.java"	"37"	"38"	"first-party/Grindr"	"high"
"POST"	"v1/consumables/redeem/boost"	"com.grindrapp.android.boost2.data.datasource.api.BoostService"	"sources/com/grindrapp/android/boost2/data/datasource/api/BoostService.java"	"40"	"41"	"first-party/Grindr"	"high"
"POST"	"/internal/v1/boost/sessions"	"com.grindrapp.android.boost2.data.datasource.api.BoostService"	"sources/com/grindrapp/android/boost2/data/datasource/api/BoostService.java"	"43"	"44"	"first-party/Grindr"	"high"
"POST"	"/v1/boost/sessions/unpause"	"com.grindrapp.android.boost2.data.datasource.api.BoostService"	"sources/com/grindrapp/android/boost2/data/datasource/api/BoostService.java"	"46"	"47"	"first-party/Grindr"	"high"
"GET"	"v3/bootstrap"	"com.grindrapp.android.bootstrap.api.BootstrapRestService"	"sources/com/grindrapp/android/bootstrap/api/BootstrapRestService.java"	"13"	"14"	"first-party/Grindr"	"high"
"GET"	"v4/cascade"	"com.grindrapp.android.cascade.data.api.CascadeService"	"sources/com/grindrapp/android/cascade/data/api/CascadeService.java"	"15"	"16"	"first-party/Grindr"	"high"
"POST"	"v3/me/prefs/phrases"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"41"	"42"	"first-party/Grindr"	"high"
"DELETE"	"v4/chat/conversation/{conversationId}"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"44"	"45"	"first-party/Grindr"	"high"
"POST"	"v4/chat/message/delete"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"47"	"48"	"first-party/Grindr"	"high"
"DELETE"	"v3/me/prefs/phrases/{id}"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"50"	"51"	"first-party/Grindr"	"high"
"GET"	"/v4/pics/expiring/status"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"53"	"54"	"first-party/Grindr"	"high"
"POST"	"v3/inbox"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"56"	"57"	"first-party/Grindr"	"high"
"POST"	"v3/inbox"	"com.grindrapp.android.chat.data.datasource.api.service.ChatRestService"	"sources/com/grindrapp/android/chat/data/datasource/api/service/ChatRestService.java"	"59"	"60"	"first-party/Grindr"	"high"
